"monument_id","name_tr","name_en","type_tr","type_en","date_ce","city_tr","city_en","lat","lon","dynasty_id","patron_ruler","unesco","status","significance","notes_tr","notes_en","narrative_tr","narrative_en","architectural_detail_tr","historical_context_tr","visitor_note_tr","related_event_ids","related_scholar_ids"
"14","el-Hamrâ Sarayı (Alhambra)","Alhambra Palace","Saray","Palace","1238","Gırnata","Granada","37.18","-3.59","7","Nasrî sultanları","Evet","Müze","Kritik","İslam sanatının en parlak eseri; Aslanlar Avlusu","Finest achievement of Islamic art; Court of the Lions","1238'den itibaren Nasrî sultanları tarafından Gırnata'da inşa edilen el-Hamrâ (Alhambra), İslam sanatının en parlak başyapıtıdır. Aslanlar Avlusu'ndaki 124 mermer sütun ve ince mukarnaslar, Comares Salonu'nun yansıma havuzu ve duvarları kaplayan geometrik stuko bezemelar İslam dekoratif sanatının insanlığa sunduğu en rafine eserlerdir. Su, ışık ve geometrinin mükemmel uyumunu yakalayan Alhambra, Endülüs'ün son İslam devletinin vedâ armağanıdır.","Built from 1238 onward by Nasrid sultans in Granada, the Alhambra is Islamic art's most brilliant masterpiece. The 124 marble columns and fine muqarnas of the Court of the Lions, the reflection pool of Comares Hall, and geometric stucco decorations covering every wall are the most refined works Islamic decorative art has offered humanity. Capturing the perfect harmony of water, light and geometry, the Alhambra is the farewell gift of Andalusia's last Islamic state.","Mukarnaslar, geometrik stuko, kaligrafi ve su kullanımının mükemmel senteziyle İslam dekoratif sanatının zirvesi. Her yüzey süslü olmakla birlikte aşırıya kaçmayan denge ustaca korunur.","Endülüs İslam medeniyetinin son ve en parlak eseri; 1492 düşüşü öncesi İslam İspanyası'nın vedâ anıtı.","Online bilet alımı zorunludur; Nasrî Sarayları için ayrı zaman dilimi vardır. Gün batımı ziyareti en etkileyici deneyimdir.","",""
"15","Kutubiye Camii","Koutoubia Mosque","Cami","Mosque","1162","Merakeş","Marrakesh","31.62","-7.99","15","Abdülmü'min","Evet","Aktif","Yüksek","Muvahhid mimarisinin başyapıtı; Giralda ve Hassan Kulesi'ne model","Almohad masterpiece; model for Giralda and Hassan Tower","1162'de Muvahhid halifesi Abdülmü'min'in emriyle inşa edilen Kutubiye Camii, Merakeş'in simgesidir. 77 metre yüksekliğindeki minaresi Mağrib minare geleneğinin en güzel örneğidir ve İşbiliye'deki Giralda ile Rabat'taki Hassan Kulesi'ne model olmuştur. Kare planlı minare, geometrik süslemeleri ve kemerli pencereleriyle Muvahhid mimarisinin sadelik ve görkemi birleştiren estetiğini yansıtır.","Built in 1162 by Almohad caliph Abd al-Mu'min, the Koutoubia is Marrakesh's symbol. Its 77-meter minaret is the finest example of Maghreb minaret tradition and served as model for Seville's Giralda and Rabat's Hassan Tower. The square-planned minaret with geometric decoration and arched windows reflects the Almohad aesthetic combining simplicity and grandeur.","Kare minare formu Mağrib İslam mimarisinin imza unsuru; Giralda ve Hassan Kulesi'nin doğrudan ilham kaynağı.","Muvahhid reform hareketinin sadelik ideolojisinin mimari yansıması; Mağrib İslam kimliğinin simgesi.","Jemaa el-Fna meydanından yürüme mesafesinde; gün batımında minare silueti en güzel görüntüyü verir.","",""
"16","Hassan Kulesi","Hassan Tower","Minare","Minaret","1195","Rabat","Rabat","34.02","-6.82","15","Ya'kūb el-Mansûr","Evet","Tamamlanmamış","Yüksek","Tamamlanmamış dev minare; 44m yüksekliğinde","Unfinished giant minaret; 44m tall","1195'te Muvahhid halifesi Ya'kūb el-Mansûr'un emriyle Rabat'ta inşaatına başlanan Hassan Kulesi, tamamlanmamış bir dev minaredir. Planlanan 86 metrelik yüksekliğin yalnızca 44 metresi tamamlanabildi — halifenin ölümü inşaatı durdurdu. Yanındaki caminin 348 sütunundan yalnızca kütükleri ayakta kalmıştır. Tamamlanmamışlığı paradoksal biçimde yapıyı daha etkileyici ve romantik kılar.","Begun in 1195 by Almohad caliph Yaqub al-Mansur in Rabat, the Hassan Tower is an unfinished giant minaret. Only 44 of the planned 86 meters were completed — the caliph's death halted construction. Only the stumps of the mosque's 348 columns remain standing. Its incompleteness paradoxically makes the structure more impressive and romantic.","Tamamlansaydı İslam dünyasının en büyük camii ve en yüksek minaresi olacaktı; Muvahhid mimari hırsının en uç örneği.","Muvahhid İmparatorluğu'nun aşırı hırsının ve kısa ömrünün metaforu; bugün Fas'ın ulusal sembollerinden.","Karşısındaki Muhammed V Türbesi ile birlikte ziyaret edilmeli; sütun kalıntıları arasında yürümek etkileyici.","",""
"17","İsfahan Cuma Camii","Isfahan Friday Mosque","Cami","Mosque","1088","İsfahan","Isfahan","32.67","51.68","91","Nizâmülmülk / Tâcülmülk","Evet","Aktif","Kritik","İslam mimarisinin ansiklopedisi; dört eyvanlı plan","Encyclopedia of Islamic architecture; four-iwan plan","1088'den itibaren Selçuklu döneminde yeniden tasarlanan İsfahan Cuma Camii, İslam mimarisinin ansiklopedisidir. İçinde Selçuklu, İlhanlı, Timurlu, Safevî ve Kaçar dönemlerinin izleri bir arada bulunur. Nizâmülmülk ve rakibi Tâcülmülk'ün yarışarak yaptırdığı iki kubbe İslam kubbe mühendisliğinin erken başyapıtlarıdır. Dört eyvanlı avlu planı İran camilerinin standart modeli haline geldi.","Redesigned from 1088 onward during the Seljuk period, the Isfahan Friday Mosque is an encyclopedia of Islamic architecture. It contains traces of Seljuk, Ilkhanid, Timurid, Safavid and Qajar periods together. The two domes built by competing viziers Nizam al-Mulk and Taj al-Mulk are early masterpieces of Islamic dome engineering. The four-iwan courtyard plan became the standard model for Iranian mosques.","Dört eyvanlı plan İran cami tipinin kurucu örneği; Nizâmülmülk kubbesi erken tuğla kubbe mühendisliğinin başyapıtı. Bin yıllık mimari katmanlar tek yapıda görülebilir.","Selçuklu vezirler arası rekabetin mimari yansıması; İran İslam mimarisinin evrimini tek yapıda izleme imkânı sunar.","UNESCO Dünya Mirası; farklı dönem kubbeleri karşılaştırmalı incelenebilir; rehberli tur önerilir.","",""
"18","Kudüs Salâhaddîn Eserleri","Saladin's Jerusalem Works","Kale/Cami","Citadel/Mosque","1187","Kudüs","Jerusalem","31.78","35.23","30","Salâhaddîn","Evet","Aktif","Yüksek","Kudüs'ün İslami restorasyonu; medreseler","Islamic restoration of Jerusalem; madrasas","1187'de Kudüs'ü geri alan Salâhaddîn, şehrin İslami kimliğini restore etmek için kapsamlı imar çalışmaları başlattı. Haçlı döneminde kilise ve saray olarak kullanılan yapılar yeniden camiye dönüştürüldü, yeni medreseler ve hankâhlar inşa edildi. Kudüs Kalesi (Kule-i Davud) güçlendirildi. Salâhaddîn'in Kudüs eserleri, şehrin İslam karakterinin yeniden tesisi olarak hem askeri hem kültürel bir restorasyondur.","After retaking Jerusalem in 1187, Saladin launched comprehensive reconstruction to restore the city's Islamic identity. Buildings used as churches and palaces during the Crusader period were reconverted to mosques, new madrasas and khanqahs were built. The Jerusalem Citadel was reinforced. Saladin's works represent both military and cultural restoration reestablishing the city's Islamic character.","Haçlı döneminde değiştirilen yapıların İslami restorasyonu; Eyyûbî medrese ve hankâh mimarisinin Kudüs'teki örnekleri.","Kudüs'ün İslami kimliğinin restorasyonu; Salâhaddîn'in hoşgörü politikasının fiziksel kanıtları.","Eski Şehir'deki Eyyûbî eserleri dağınıktır; kapsamlı tur için yarım gün ayırın.","",""
"19","Sultan Hasan Camii","Sultan Hassan Mosque","Cami/Medrese","Mosque/Madrasa","1356","Kahire","Cairo","30.03","31.26","31","Sultan Hasan","Evet","Aktif","Kritik","Memlûk mimarisinin başyapıtı; dört mezhep medresesi","Mamluk masterpiece; four-school madrasa","1356'da Sultan Hasan'ın emriyle Kahire'de inşa edilen Sultan Hasan Camii ve Medresesi, Memlûk mimarisinin başyapıtıdır. 36 metre yüksekliğindeki portal İslam dünyasının en büyüklerinden biridir. Dört mezhep için ayrı medrese bölümleri içeren yapı, İslam eğitim mimarisinin en gelişmiş örneğidir. Devasa ölçeği ve mühendislik cesareti ile İslam mimarisinin en iddialı tek yapılarından biridir.","Built in 1356 by order of Sultan Hasan in Cairo, this mosque and madrasa is the masterpiece of Mamluk architecture. Its 36-meter portal is one of the largest in the Islamic world. Containing separate madrasa sections for four legal schools, it is the most advanced example of Islamic educational architecture. With its massive scale and engineering daring, it is one of Islamic architecture's most ambitious single buildings.","36m portal İslam dünyasının en büyüklerinden; dört mezhep medresesi tek yapıda. Mukarnas işçiliği Memlûk zanaatının zirvesini temsil eder.","Memlûk askeri aristokrasisinin mimari gücünün en açık göstergesi; inşaat masrafları devlet bütçesini zorladı.","Karşısındaki er-Rifâî Camii ile birlikte panoramik fotoğraf mümkün; iç mekân akustiği etkileyicidir.","",""
"20","Kayıtbay Külliyesi","Qaitbay Complex","Külliye","Complex","1474","Kahire","Cairo","30.05","31.28","31","Kayıtbay","Evet","Aktif","Yüksek","Geç Memlûk mimarisinin incisi","Gem of late Mamluk architecture","1474'te Sultan Kayıtbay'ın emriyle Kahire'nin kuzey mezarlık bölgesinde inşa edilen külliye, geç Memlûk mimarisinin en zarif örneğidir. Cami, medrese, sebîl-küttâb ve türbeyi kompakt bir planda birleştiren yapı, Memlûk taş işçiliğinin ve geometrik süslemenin en rafine halini sunar. Kubbe üzerindeki yıldız deseni İslam geometrik sanatının en karmaşık örneklerinden biridir.","Built in 1474 by order of Sultan Qaitbay in Cairo's northern cemetery, this complex is the most elegant example of late Mamluk architecture. Combining mosque, madrasa, sabil-kuttab and mausoleum in a compact plan, it presents the most refined form of Mamluk stonework and geometric decoration. The star pattern on its dome is one of the most complex examples of Islamic geometric art.","Kompakt planda çok işlevli külliye tasarımının en zarif örneği; kubbe üzerindeki oyma yıldız deseni taş işçiliğinin zirvesi.","Memlûk sultanlarının ölüm sonrası hayır kurumu geleneğinin en güzel mimari ifadesi.","Kahire'nin 'Ölüler Şehri' bölgesinde; muhteşem kubbe deseni dışarıdan da görülebilir.","",""
"21","Divriği Ulu Camii ve Dârüşşifâsı","Divriği Great Mosque and Hospital","Cami/Hastane","Mosque/Hospital","1228","Divriği","Divriği","39.37","38.12","93","Ahmed Şah","Evet","Aktif","Kritik","UNESCO; eşsiz taş işçiliği; portal süslemeleri","UNESCO; unique stonework; portal decorations","Divriği Ulu Camii ve Dârüşşifâsı, 1228'de Mengücekli beyi Ahmed Şah tarafından Sivas'ın Divriği ilçesinde inşa ettirilen eşsiz yapıdır. Üç giriş portalındaki taş oyma süslemeler İslam sanatında benzersiz bir üslup oluşturur — ne tamamen geometrik ne tamamen bitkisel, fantastik ve organik formlarıyla hiçbir İslam yapısına benzemeyen bir estetik. Anadolu'dan UNESCO Dünya Mirası'na alınan ilk yapıdır.","The Divriği Great Mosque and Hospital, built by Mengujekid ruler Ahmad Shah in 1228 in Sivas, is a unique structure. The stone carvings on its three entrance portals create an unparalleled style in Islamic art — neither purely geometric nor purely vegetal, with fantastic organic forms unlike any other Islamic building. It was the first structure from Anatolia inscribed on the UNESCO World Heritage List.","Üç portalın her birinde tamamen farklı taş oyma programı. Kuzey portalının 'Hayat Ağacı' motifi, güney portalının 3D barok-benzeri kabartmaları eşsiz. İç mekânda ışık oyunları tasarımın parçası.","Mengücekli Beyliği'nin Anadolu'daki son büyük eseri; Moğol istilası öncesi Anadolu taş işçiliğinin doruk noktası.","Sivas'tan 170 km uzaklıkta; ulaşım zor ama portalları görmek her şeye değer. Fotoğraf için öğle güneşi en iyi ışığı verir.","",""
"22","Selimiye Camii","Selimiye Mosque","Cami","Mosque","1574","Edirne","Edirne","41.68","26.56","130","II. Selim / Mimar Sinan","Evet","Aktif","Kritik","Mimar Sinan'ın başyapıtı; 31.3m kubbe çapı","Sinan's masterpiece; 31.3m dome diameter","Selimiye Camii, 1574'te Mimar Sinan tarafından Edirne'de tamamlanan ve bizzat ustanın 'başyapıtım' (ustalık eserim) dediği İslam mimarisinin zirvesidir. 31,3 metrelik kubbe çapıyla Ayasofya'yı aşan Sinan, sekiz destekli strüktürel sistemle kubbeyi dört duvar üzerine oturtarak iç mekânda kesintisiz bir birlik alanı yarattı. Dört ince minaresi Osmanlı siluetinin en zarif unsurlarıdır.","The Selimiye Mosque, completed by Mimar Sinan in Edirne in 1574 and called by the master himself 'my masterwork,' is the pinnacle of Islamic architecture. With a 31.3-meter dome diameter surpassing Hagia Sophia, Sinan created an uninterrupted unity of space by resting the dome on four walls through an eight-support structural system. Its four slender minarets are the most elegant elements of the Ottoman silhouette.","31,3m kubbe çapı sekiz fil ayağı üzerine oturur. Dört minare 83m yüksekliğinde, her birinde üç şerefe. İç mekânda tek kubbeli kesintisiz alan hissi Sinan'ın en büyük başarısı.","Sultan II. Selim'in emriyle Mimar Sinan'ın 80'li yaşlarında gerçekleştirdiği; Ayasofya'yı aşma hedefinin nihai gerçekleşmesi.","Edirne merkezinde; iç mekânı deneyimlemek için öğle namazı sonrası sessiz saatlerde ziyaret önerilir. Türk İslam Eserleri Müzesi alt kattadır.","28","36"
"23","Süleymaniye Camii","Süleymaniye Mosque","Külliye","Complex","1557","İstanbul","Istanbul","41.02","28.96","130","Kanuni / Mimar Sinan","Evet","Aktif","Kritik","Osmanlı mimarisinin zirvesi; 7 yılda inşa","Pinnacle of Ottoman architecture; built in 7 years","Süleymaniye Camii, 1557'de Mimar Sinan tarafından İstanbul'da tamamlanan Osmanlı mimarisinin en kapsamlı külliyesidir. Cami, dört medrese, hamam, hastane, aşevi (imaret), kütüphane ve dükkânlardan oluşan dev kompleks, Osmanlı sosyal devlet anlayışının mimari manifestosudur. İstanbul'un yedi tepesinden birinin zirvesine kurulan Süleymaniye, Haliç siluetinin tanımlayıcı unsurudur.","The Süleymaniye Mosque, completed by Mimar Sinan in Istanbul in 1557, is the most comprehensive Ottoman külliye. The vast complex of mosque, four madrasas, bathhouse, hospital, soup kitchen, library, and shops is the architectural manifesto of the Ottoman social state concept. Built atop one of Istanbul's seven hills, the Süleymaniye defines the Golden Horn skyline.","Ana kubbe 53m yüksekliğinde, 26,5m çapında; yarım kubbeler ve tonozlar kademeli geçiş oluşturur. Akustik tasarım mükemmel. Avluda Kanuni ve Hürrem Sultan türbeleri.","Kanuni Sultan Süleyman'ın Osmanlı İmparatorluğu'nun zirvesini mimari olarak ölümsüzleştirme projesi.","İstanbul'un en huzurlu cami avlularından; Haliç manzarası için avlunun kuzey kenarı ideal. Mimar Sinan'ın mütevazı türbesi külliyenin köşesinde.","28","36"
"24","Sultan Ahmed Camii (Mavi Cami)","Sultan Ahmed Mosque (Blue Mosque)","Cami","Mosque","1616","İstanbul","Istanbul","41.01","28.98","130","I. Ahmed","Evet","Aktif","Kritik","6 minareli; 20.000+ İznik çinisi","6 minarets; 20,000+ Iznik tiles","Sultan Ahmed Camii (Mavi Cami), 1616'da İstanbul'da tamamlanan ve 20.000'den fazla İznik çinisiyle süslenen altı minareli görkemli camidir. Çinilerdeki mavi tonlar yapıya 'Mavi Cami' adını kazandırmıştır. Altı minare inşa edilmesi döneminde tartışma yaratmıştı — o güne kadar yalnızca Mekke'deki Mescid-i Harâm'ın altı minaresi vardı; mesele Mescid-i Harâm'a yedinci minare eklenerek çözüldü.","The Sultan Ahmed Mosque (Blue Mosque), completed in Istanbul in 1616, is a magnificent mosque adorned with over 20,000 Iznik tiles and six minarets. The blue tones in the tiles earned it the name 'Blue Mosque.' The construction of six minarets was controversial — until then only the Masjid al-Haram in Mecca had six; the issue was resolved by adding a seventh minaret to Mecca.","20.000+ İznik çinisi mavi, yeşil ve beyaz tonlarda. Altı minare — dördü üç şerefeli, ikisi iki şerefeli. Kaskad kubbe sistemi Sinan geleneğini devam ettirir.","Sultan I. Ahmed'in Osmanlı-Habsburg barışından sonra savaş ganimetleri yerine mimari eserle güç gösterme tercihi.","Ayasofya'nın tam karşısında; sabah erken saatlerde iç mekân ışığı çinilerdeki mavi tonları en güzel yansıtır. Giriş namaz saatleri dışında turistlere açık.","",""
"25","Topkapı Sarayı","Topkapi Palace","Saray","Palace","1478","İstanbul","Istanbul","41.01","28.98","130","Fatih Sultan Mehmed","Evet","Müze","Kritik","400 yıl Osmanlı yönetim merkezi; kutsal emanetler","Ottoman administrative center for 400 years; holy relics","Topkapı Sarayı, 1478'den itibaren dört yüz yıldan fazla Osmanlı İmparatorluğu'nun yönetim merkezi olarak kullanılan devasa saray kompleksidir. Fatih Sultan Mehmed tarafından İstanbul'un fethinden sonra inşa ettirilen saray, Marmara Denizi, Boğaziçi ve Haliç'in birleştiği stratejik noktada konumlanır. İç hazine, Harem, kutsal emanetler (Hz. Muhammed'in hırkası ve kılıcı dahil) ve dört avlulu organik büyüme planıyla İslam saray mimarisinin en özgün örneklerinden biridir.","Topkapi Palace was the administrative center of the Ottoman Empire for over four hundred years from 1478. Built by Sultan Mehmed the Conqueror after Istanbul's conquest, the palace is positioned at the strategic point where the Sea of Marmara, Bosphorus, and Golden Horn meet. With its inner treasury, Harem, holy relics (including Muhammad's cloak and sword), and four-courtyard organic growth plan, it is one of the most original examples of Islamic palace architecture.","Dört avlulu organik plan — her avlu farklı işlev: törensel, idari, özel, kutsal. Harem 400 odadan oluşan labirent. Bağdat ve Revan köşkleri İznik çinileriyle bezeli.","Fatih Sultan Mehmed'in İstanbul'u fethettikten sonra yeni başkentin yönetim merkezini oluşturma projesi; 19. yüzyıla kadar kullanıldı.","İstanbul'un en çok ziyaret edilen müzesi; Harem bölümü ayrı bilet gerektirir. Kutsal emanetler bölümü en yoğun alan; erken sabah önerilir.","",""
"26","Registan Meydanı","Registan Square","Meydan/Medrese","Square/Madrasa","1420","Semerkant","Samarkand","39.65","66.98","144","Uluğ Bey","Evet","Müze","Kritik","Orta Asya'nın kalbi; üç medrese; çini sanatı","Heart of Central Asia; three madrasas; tile art","Registan Meydanı, Timurlu hükümdarı Uluğ Bey döneminden başlayarak şekillenen ve Orta Asya İslam mimarisinin en görkemli meydanıdır. Üç büyük medrese — Uluğ Bey (1420), Şîrdâr (1636) ve Tillâkârî (1660) — meydanın üç tarafını çevreler. Devasa giriş eyvanları, çini mozaikleri ve geometrik süslemeleri İslam çini sanatının en parlak örnekleridir. Semerkant'ın ve tüm Orta Asya'nın sembolüdür.","Registan Square, shaped from the Timurid ruler Ulugh Beg's era onward, is the most magnificent square in Central Asian Islamic architecture. Three great madrasas — Ulugh Beg (1420), Sher-Dor (1636), and Tilla-Kari (1660) — frame three sides of the square. Their massive entrance iwans, tile mosaics, and geometric decorations are the most brilliant examples of Islamic tile art. It is the symbol of Samarkand and all Central Asia.","Üç medresenin simetrik düzeni meydana anıtsal karakter verir. Şîrdâr'daki aslan-kaplan figürleri İslam'ın figüratif yasağının esnetilmesinin nadir örneği. Tillâkârî'nin altın iç kubbesi göz kamaştırıcı.","Uluğ Bey'in Semerkant'ı bilim ve sanat merkezi yapma vizyonunun mimari ifadesi; sonraki iki medrese Şeybanî dönemi ekleri.","Semerkant'ın kalbinde; gece aydınlatma gösterisi yapılıyor. Uluğ Bey Medresesi'nin eyvanından içeri bakış etkileyici.","26",""
