"route_id","name_tr","name_en","type_tr","type_en","start_city_tr","start_city_en","end_city_tr","end_city_en","waypoints","period_start_ce","period_end_ce","goods_tr","goods_en","dynasty_ids","significance","notes_tr","notes_en","narrative_tr","narrative_en","economic_impact_tr","cultural_exchange_tr","peak_period_note_tr"
"1","İpek Yolu (Kuzey)","Northern Silk Road","Kara","Land","Çin (Xi'an)","China (Xi'an)","Konstantinopolis","Constantinople","34.26,108.94;39.47,75.99;39.65,66.96;37.58,61.84;36.31,59.60;33.31,44.37;41.01,28.98","200","1500","İpek;baharat;porselen;altın;kâğıt","Silk;spices;porcelain;gold;paper","89;91;106;96;145","Kritik","Dünyanın en eski ve en önemli ticaret yolu; Sâmânîler, Selçuklular, Timurlular kontrol etti","World's oldest and most important trade route; controlled by Samanids, Seljuqs, Timurids","Kuzey İpek Yolu, Çin'den Akdeniz'e uzanan dünyanın en eski ve en efsanevi ticaret güzergâhıdır. Semerkant, Buhara ve Bağdat gibi İslam şehirleri bu yolun kilit kavşak noktalarıydı. Türk ve İranlı tüccarlar Çin ipeğini, baharatını ve porselenini Batı'ya taşırken, Batı'dan cam, yünlü kumaş ve değerli metaller doğuya akıyordu. Bu yol sadece mal değil, din, teknoloji ve fikirlerin de taşıyıcısıydı.","The Northern Silk Road was the world's oldest and most legendary trade route stretching from China to the Mediterranean. Islamic cities like Samarkand, Bukhara and Baghdad were key junction points. Turkic and Iranian merchants carried Chinese silk, spices and porcelain westward while glass, woolens and precious metals flowed east. This route carried not just goods but religion, technology and ideas.","İslam dünyasının ticaret gelirleri ve gümrük vergileri devlet bütçelerinin temelini oluşturdu. Sâmânî gümüş dirhemleri Viking İskandinavya'sına kadar ulaştı.","Kâğıt yapım teknolojisi bu yol üzerinden Çin'den İslam dünyasına geçti. Budizm, İslam ve Hristiyanlık bu güzergâhta yayıldı.","Sâmânîler (9-10. yy) ve Timurlular (14-15. yy) dönemlerinde en yoğun trafiğe ulaştı."
"2","İpek Yolu (Güney / Deniz)","Maritime Silk Road","Deniz","Maritime","Guangzhou (Çin)","Guangzhou (China)","Basra / Sîrâf","Basra / Siraf","23.13,113.26;1.35,103.82;6.93,79.86;9.97,76.27;23.61,58.54;30.51,47.81","700","1500","Baharat;porselen;ipek;buhur;kereste","Spices;porcelain;silk;frankincense;timber","3;54;184","Kritik","Hint Okyanusu deniz ticareti; Arap tüccarlar Çin'e kadar gitti","Indian Ocean maritime trade; Arab merchants reached China","Deniz İpek Yolu, Güney Çin'den Basra Körfezi'ne uzanan ve Hint Okyanusu'nu kullanan deniz ticaret ağıydı. Arap ve Fars denizcileri muson rüzgârlarını ustaca kullanarak Çin, Güneydoğu Asya ve Hindistan'a düzenli seferler düzenliyordu. Sîrâf ve Basra limanları bu ticaretin İslam dünyasındaki ana terminalleri, Mâleka (Malakka) ise güzergâhın Güneydoğu Asya kavşağıydı.","The Maritime Silk Road was a sea trade network stretching from southern China to the Persian Gulf using the Indian Ocean. Arab and Persian sailors masterfully utilized monsoon winds for regular voyages to China, Southeast Asia and India. Siraf and Basra ports were the main Islamic terminals, while Malacca was the Southeast Asian junction.","Basra ve Sîrâf limanları Abbâsî hazinesine devasa gümrük gelirleri sağladı. Çin porseleni ve ipek İslam dünyasında lüks tüketim malı haline geldi.","İslam, Arap tüccarlar aracılığıyla bu deniz yoluyla Güneydoğu Asya'ya ve Çin kıyılarına yayıldı. Çin'deki en eski camiler liman şehirlerinde bulunur.","Abbâsî dönemi (8-10. yy) Arap denizciliğinin altın çağı; Sinbad hikâyeleri bu geleneği yansıtır."
"3","Baharat Yolu","Spice Route","Deniz","Maritime","Molükler / Hindistan","Moluccas / India","İskenderiye / Venedik","Alexandria / Venice","-0.79,127.38;9.97,76.27;12.79,45.03;30.04,31.24;45.44,12.34","1000","1600","Karanfil;tarçın;karabiber;zencefil;muskat","Cloves;cinnamon;pepper;ginger;nutmeg","49;181;184;27;30;31","Kritik","Yemen (Aden) ve Mısır kilit transit noktaları; Resûlîler ve Memlûkler büyük gelir elde etti","Yemen (Aden) and Egypt key transit points; Rasulids and Mamluks profited greatly","Baharat Yolu, Molük Adaları ve Hindistan'ın baharatlarını Akdeniz dünyasına taşıyan ve İslam tüccarlarının asırlardır kontrol ettiği son derece kârlı güzergâhtı. Karanfil, tarçın, karabiber ve muskat gibi baharatlar ağırlıklarınca altın değerindeydi. Yemen'deki Aden limanı ve Mısır'daki İskenderiye kilit transit noktalarıydı; Memlûkler bu ticaretten devasa gümrük geliri elde ediyordu.","The Spice Route carried spices from the Moluccas and India to the Mediterranean world, controlled by Muslim merchants for centuries. Spices like cloves, cinnamon, pepper and nutmeg were worth their weight in gold. Aden in Yemen and Alexandria in Egypt were key transit points; the Mamluks earned enormous customs revenue from this trade.","Baharat ticareti Memlûk ve Resûlî ekonomilerinin temel gelir kaynağıydı. Portekizlilerin 1498'de Ümit Burnu'nu dolaşması bu tekeli kırdı.","Hint Okyanusu kozmopolitliği — Arap, Hint, Malay ve Çinli tüccarlar arasında yoğun kültürel alışveriş yaşandı.","13-15. yüzyıllar; Portekiz girişimine kadar İslam dünyası deniz ticaretinin tartışılmaz hâkimiydi."
"4","Trans-Sahra Ticaret Yolu (Batı)","Western Trans-Saharan Route","Kara","Land","Timbuktu / Gao","Timbuktu / Gao","Fas / Tunus","Morocco / Tunis","16.77,-3.01;23.50,-3.50;31.28,-4.28;34.03,-5.00","800","1600","Altın;tuz;köle;fildişi;devekuşu tüyü","Gold;salt;slaves;ivory;ostrich feathers","58;59;14;16;20","Kritik","Batı Afrika altını Akdeniz'e taşıdı; Mansa Musa'nın hacı yolculuğu altın fiyatını düşürdü","Carried West African gold to Mediterranean; Mansa Musa's hajj depressed gold prices","Trans-Sahra Batı Yolu, Sahra altı Afrika'nın altınını ve kaynaklarını Kuzey Afrika ve Akdeniz'e taşıyan ticaret hattıydı. Deve kervanları Timbuktu'dan hareketle çöl geçişinde Sijilmasa veya Fez'e ulaşıyordu. Güneye tuz ve mamul mal, kuzeye altın ve fildişi akıyordu. Mali İmparatoru Mansa Musa'nın 1324 hac yolculuğunda yanında taşıdığı devasa altın, Kahire'de altın fiyatını on yıl boyunca düşürdü.","The Western Trans-Saharan Route carried sub-Saharan Africa's gold and resources to North Africa and the Mediterranean. Camel caravans departed Timbuktu crossing the desert to reach Sijilmasa or Fez. Salt and manufactured goods flowed south, gold and ivory north. Mali Emperor Mansa Musa's 1324 pilgrimage with enormous gold depressed Cairo's gold prices for a decade.","Batı Afrika altını Kuzey Afrika ve Avrupa ekonomilerini besledi. Fâtımî ve Memlûk altın dinarları bu kaynağa bağlıydı.","İslam bu ticaret yolu boyunca Batı Afrika'ya yayıldı. Arapça, İslam hukuku ve mimari geleneği ticaretle birlikte güneye taşındı.","Mali İmparatorluğu dönemi (13-14. yy); Mansa Musa'nın hacı zenginliği bu yolun gücünü simgeler."
"5","Trans-Sahra Ticaret Yolu (Orta)","Central Trans-Saharan Route","Kara","Land","Kenem-Bornu","Kanem-Bornu","Trablus / Kahire","Tripoli / Cairo","13.00,14.00;27.00,14.00;32.90,13.18;30.04,31.24","900","1800","Köle;fildişi;altın;tuz;deri","Slaves;ivory;gold;salt;leather","60;23;31","Yüksek","Fezzan üzerinden Trablus'a; Kenem-Bornu'nun ekonomik temeli","Via Fezzan to Tripoli; economic base of Kanem-Bornu","Trans-Sahra Orta Yolu, Çad Gölü bölgesindeki Kenem-Bornu'yu Fezzan üzerinden Trablus ve Kahire'ye bağlıyordu. Köle, fildişi ve altın ticareti bu güzergâhın temelini oluşturuyordu. Fezzan'daki vahaları kontrol eden güçler ticaretin kapı bekçileri konumundaydı. Bu yol aynı zamanda İslam'ın Çad Gölü bölgesine yayılmasının ana kanalıydı.","The Central Trans-Saharan Route connected Kanem-Bornu in the Lake Chad region to Tripoli and Cairo via Fezzan. Trade in slaves, ivory, and gold formed the backbone of this route. Powers controlling Fezzan's oases served as gatekeepers of trade. This route was also the main channel for Islam's spread to the Lake Chad region.","Kenem-Bornu ekonomisinin ana gelir kaynağı; Trablus limanından Akdeniz'e açılan ticaret.","İslam, tüccarlar ve gezici ulema aracılığıyla bu yol boyunca Çad Gölü bölgesine yayıldı.","Kenem-Bornu İmparatorluğu'nun güçlü olduğu 11-16. yüzyıllar arası en yoğun dönem."
"6","Hac Yolu (Şam-Mekke)","Hajj Route (Damascus-Mecca)","Kara","Land","Şam","Damascus","Mekke","Mecca","33.51,36.29;32.35,36.24;29.53,35.00;28.38,36.59;26.23,36.62;24.47,39.61;21.42,39.83","630","1908","Hacılar;hediyeler;ticaret malları","Pilgrims;gifts;trade goods","2;3;28;30;31;124","Kritik","Yıllık hac kervanı; Osmanlı'nın Hicaz Demiryolu (1908) ile modernleşti","Annual hajj caravan; modernized with Ottoman Hejaz Railway (1908)","Şam-Mekke Hac Yolu, yıllık olarak binlerce hacının kutsal topraklara ulaşmak için kullandığı İslam dünyasının en önemli güzergâhlarından biriydi. Emîrü'l-hac (hac komutanı) yönetimindeki devasa kervanlar, hac mevsiminde Şam'dan hareketle Hicaz'a doğru ilerlerdi. Osmanlı'nın 1908'de tamamladığı Hicaz Demiryolu bu kadim güzergâhı modernleştirerek yolculuk süresini haftalrdan günlere indirdi.","The Damascus-Mecca Hajj Route was one of the most important routes in the Islamic world, used annually by thousands of pilgrims to reach the holy lands. Massive caravans led by an amir al-hajj departed Damascus for the Hijaz during the pilgrimage season. The Ottoman Hejaz Railway completed in 1908 modernized this ancient route, reducing travel from weeks to days.","Hac kervanları yerel ekonomilere canlandırıcı etki yapıyordu; güzergâh üzerindeki şehirler konaklama, yiyecek ve su hizmeti sağlıyordu.","Farklı İslam topluluklarının buluşma noktası; ilim adamları, fikirler ve kitaplar hac kervanlarıyla taşınıyordu.","Osmanlı dönemi (16-20. yy) en organize hac kervanları; Hicaz Demiryolu ile modern ulaşıma geçiş."
"7","Hac Yolu (Mısır-Mekke)","Hajj Route (Egypt-Mecca)","Kara/Deniz","Land/Maritime","Kahire","Cairo","Mekke","Mecca","30.04,31.24;28.00,33.87;26.56,36.55;24.47,39.61;21.42,39.83","640","1900","Hacılar;hediyeler;Mısır tekstili","Pilgrims;gifts;Egyptian textiles","27;28;30;31;124","Kritik","Kızıldeniz kıyısı veya Sina üzerinden; Memlûk ve Osmanlı koruması","Via Red Sea coast or Sinai; Mamluk and Ottoman protection","Mısır-Mekke Hac Yolu, Kahire'den hareketle Sina Yarımadası veya Kızıldeniz kıyısı üzerinden Mekke'ye ulaşan güzergâhtı. Memlûk ve Osmanlı dönemlerinde Mısır, İslam dünyasının en kalabalık hac kervanlarını organize ediyordu. Kısvetu'l-Kâbe (Kâbe örtüsü) her yıl Kahire'de dokunarak törenle Mekke'ye gönderiliyordu — bu gelenek Mısır'ın İslam dünyasındaki prestijinin somut göstergesiydi.","The Egypt-Mecca Hajj Route ran from Cairo via the Sinai Peninsula or Red Sea coast to Mecca. During Mamluk and Ottoman periods, Egypt organized the largest hajj caravans in the Islamic world. The Kiswa (Kaaba covering) was woven in Cairo each year and ceremonially sent to Mecca — a concrete demonstration of Egypt's prestige in the Islamic world.","Memlûk hazinesi hac kervanının güvenlik ve lojistik giderlerini karşılayarak siyasi meşruiyet satın alıyordu.","Kısvetu'l-Kâbe geleneği Mısır'ın İslam dünyasındaki kültürel liderliğinin sembolüydü.","Memlûk dönemi (13-16. yy) en görkemli kervanlar; Osmanlı döneminde de devam etti."
"8","Doğu Afrika Sahil Ticareti","East African Coastal Trade","Deniz","Maritime","Mogadişu","Mogadishu","Sofala (Mozambik)","Sofala (Mozambique)","2.05,45.32;-2.08,41.05;-4.05,39.67;-6.16,39.19;-8.96,39.52;-20.15,34.74","800","1500","Altın;fildişi;köle;baharat;porselen","Gold;ivory;slaves;spices;porcelain","62;63;64;65","Yüksek","Svahili şehir devletleri; Kilwa, Pate, Mombasa, Zengibar; Hint Okyanusu ağına bağlantı","Swahili city-states; Kilwa, Pate, Mombasa, Zanzibar; connection to Indian Ocean network","Doğu Afrika Sahil Ticareti, Mogadişu'dan Mozambik'e uzanan Svahili sahil şehirleri ağının deniz ticaretini kapsıyordu. Kilwa, Mombasa, Zengibar ve Pate gibi şehir devletleri Hint Okyanusu ticaret ağının Afrika ayağını oluşturuyordu. Altın, fildişi ve köle ihraç edilirken Çin porseleni, Hint tekstili ve cam boncukları ithal ediliyordu. Bu ticaret Svahili kültürünün — Bantu dili ile Arap etkisinin sentezi — doğuşunu sağladı.","East African Coastal Trade encompassed the maritime trade of the Swahili coastal city-state network stretching from Mogadishu to Mozambique. City-states like Kilwa, Mombasa, Zanzibar and Pate formed the African leg of the Indian Ocean trade network. Gold, ivory and slaves were exported while Chinese porcelain, Indian textiles and glass beads were imported. This trade gave birth to Swahili culture — a synthesis of Bantu language and Arab influence.","Kilwa'nın altın ticareti şehri dönemin en zengin Doğu Afrika yerleşimine dönüştürdü.","Svahili dili (Bantu+Arapça sentezi) ve Svahili kültürü bu ticari etkileşimin ürünüdür.","12-15. yüzyıllar; Portekiz gelişiyle (1498) bağımsız Svahili ticareti sona erdi."
"9","Horasan Yolu (Bağdat-Semerkant)","Khorasan Road","Kara","Land","Bağdat","Baghdad","Semerkant","Samarkand","33.31,44.37;34.31,47.42;35.28,59.49;36.31,59.60;37.58,61.84;39.65,66.96","750","1500","İpek;kereste;at;meyve;madencilik ürünleri","Silk;timber;horses;fruit;mining products","3;89;91;96;106","Kritik","Abbâsî İmparatorluğu'nun ana arterı; Horasan orduları bu yoldan geldi","Main artery of Abbasid Empire; Khorasan armies came this way","Horasan Yolu, Bağdat'tan Semerkant'a uzanan Abbâsî İmparatorluğu'nun ana arteriydi. Bu güzergâh üzerinden Horasan orduları Bağdat'a gelerek Abbâsî devrimini gerçekleştirmişti. Ticaret dışında askeri harekât, posta (berîd) sistemi ve ilim adamlarının seyahatleri için de kullanılıyordu. Nîşâbûr, Merv ve Tûs gibi büyük kültür merkezleri bu yol üzerinde sıralanıyordu.","The Khorasan Road was the main artery of the Abbasid Empire stretching from Baghdad to Samarkand. The Khorasan armies traveled this route to Baghdad to carry out the Abbasid revolution. Beyond trade, it served military operations, the postal (barid) system, and scholarly travel. Great cultural centers like Nishapur, Merv and Tus lined this road.","İpek, at, meyve ve madencilik ürünleri ticareti; Abbâsî vergi gelirlerinin önemli kaynağı.","Bu yol üzerindeki şehirlerde hadis âlimleri, filozoflar ve şairler yetişti — İslam'ın entelektüel coğrafyasının omurgası.","Abbâsî dönemi (8-10. yy) en yoğun kullanım; Moğol istilasıyla (13. yy) büyük yıkım."
"10","Hint Okyanusu Ticaret Ağı","Indian Ocean Trade Network","Deniz","Maritime","Basra/Sîrâf","Basra/Siraf","Malakka/Guangzhou","Malacca/Guangzhou","30.51,47.81;23.61,58.54;9.97,76.27;6.93,79.86;2.20,102.25;23.13,113.26","700","1500","Baharat;porselen;ipek;kereste;değerli taşlar","Spices;porcelain;silk;timber;gems","3;54;181;184","Kritik","İslam tüccarları Hint Okyanusu'nun hakimleri; muson rüzgarları kullanıldı","Muslim merchants dominated Indian Ocean; monsoon winds utilized","Hint Okyanusu Ticaret Ağı, Basra Körfezi'nden Çin denizlerine kadar uzanan ve İslam tüccarlarının asırlardır domine ettiği devasa deniz ticaret sistemidir. Muson rüzgârlarının mevsimsel döngüsü — yaz aylarında kuzeydoğu, kış aylarında güneybatı — bu ticaretin doğal motoruydu. Müslüman tüccarlar bu rüzgâr bilgisiyle Basra'dan Guangzhou'ya altı ayda gidip gelebiliyordu.","The Indian Ocean Trade Network was a vast maritime trade system stretching from the Persian Gulf to Chinese seas, dominated by Muslim merchants for centuries. The seasonal cycle of monsoon winds — northeast in summer, southwest in winter — was the natural engine of this trade. Muslim merchants could travel from Basra to Guangzhou and back in six months using this wind knowledge.","İslam dünyasının küresel ticaret üzerindeki hâkimiyetinin temeli; baharat, ipek ve porselen ticareti devasa servetler yarattı.","İslam, ticaret gemileriyle birlikte Güneydoğu Asya'ya yayıldı. Tüccar-vaiz modeli İslam'ın barışçıl yayılımının en önemli kanalıydı.","9-15. yüzyıllar; Portekiz'in Vasco da Gama ile Hint Okyanusu'na girmesiyle (1498) İslam deniz hâkimiyeti sarsıldı."
"11","Altın Yolu (Gana-Mısır)","Gold Road (Ghana-Egypt)","Kara","Land","Gana/Wangara","Ghana/Wangara","Kahire","Cairo","14.00,-10.00;16.77,-3.01;23.50,0.00;27.18,31.17;30.04,31.24","800","1400","Altın;tuz;bakır","Gold;salt;copper","58;27;30","Yüksek","Batı Afrika altını Mısır'a; Fâtımî ve Memlûk para basımının kaynağı","West African gold to Egypt; source for Fatimid and Mamluk coinage","Altın Yolu, Batı Afrika'nın (özellikle Wangara/Bambouk bölgesi) altın madenlerinden Mısır'a uzanan uzun mesafeli ticaret güzergâhıydı. Timbuktu bu yolun en önemli kavşak noktasıydı. Gana ve Mali imparatorlukları bu altın kaynakları üzerindeki kontrollerini siyasi güce dönüştürdü. Fâtımî ve Memlûk dinarlarının basımında kullanılan altının büyük kısmı bu kaynaklardan geliyordu.","The Gold Road was a long-distance trade route stretching from West Africa's gold mines (particularly the Wangara/Bambouk region) to Egypt. Timbuktu was the most important junction on this road. The Ghana and Mali empires converted their control over these gold sources into political power. Most gold used to mint Fatimid and Mamluk dinars came from these sources.","Batı Afrika altını Akdeniz ekonomisinin temel para arzını sağladı; Avrupa'nın da dolaylı altın kaynağıydı.","İslam, altın ticaretinin kanalları boyunca Batı Afrika'ya nüfuz etti. Tüccar-ulema ağları İslam'ın yayılmasının aracısıydı.","Mali İmparatorluğu dönemi (13-14. yy); Mansa Musa dünya tarihinin en zengin insanlarından biri."
"12","Karadeniz-İran İpek Yolu","Black Sea-Iran Silk Route","Kara","Land","Trabzon","Trebizond","Tebriz / İsfahan","Tabriz / Isfahan","41.00,39.72;39.77,44.79;38.08,46.29;32.66,51.68","1200","1600","İpek;baharat;at;yün;halı","Silk;spices;horses;wool;carpets","99;137;107;124","Yüksek","İlhanlı ve Safevî döneminde Tebriz dünyanın en büyük ticaret merkezlerinden","Tabriz one of world's largest trading centers during Ilkhanid and Safavid periods","Karadeniz-İran İpek Yolu, Trabzon limanından İran içlerine (Tebriz ve İsfahan) uzanan alternatif ticaret güzergâhıydı. İlhanlı döneminde Tebriz dünyanın en büyük ticaret merkezlerinden birine dönüştü ve bu yol ana bağlantısıydı. Safevî döneminde İran ipeği Avrupa'ya büyük ölçüde bu güzergâhla ihraç ediliyordu. Trabzon'daki Venedik ve Ceneviz tüccar kolonileri bu ticaretin Avrupa ayağını yönetiyordu.","The Black Sea-Iran Silk Route was an alternative trade route stretching from the port of Trebizond to the Iranian interior (Tabriz and Isfahan). During the Ilkhanid period Tabriz became one of the world's largest trade centers and this route was its main connection. During the Safavid era Iranian silk was largely exported to Europe via this route. Venetian and Genoese merchant colonies in Trebizond managed the European leg.","Tebriz'in İlhanlı dönemindeki yükselişi bu güzergâhın canlılığıyla doğrudan bağlantılı; Safevî ipek ihracatı devlet gelirlerinin temeliydi.","İtalyan tüccar kolonileri ile İslam dünyası arasında yoğun kültürel ve teknolojik alışveriş yaşandı.","İlhanlı dönemi (13-14. yy) ve Safevî dönemi (16-17. yy) iki ayrı zirve noktası."
"13","Kızıldeniz-Aden Ticaret Yolu","Red Sea-Aden Trade Route","Deniz","Maritime","Aden","Aden","Cidde / Kahire","Jeddah / Cairo","12.79,45.03;15.63,42.00;21.49,39.19;30.04,31.24","900","1600","Baharat;kahve;buhur;parfüm","Spices;coffee;frankincense;perfume","46;49;30;31;124","Yüksek","Aden stratejik geçiş noktası; Resûlîler ve Memlûkler gümrük geliri","Aden strategic transit point; Rasulids and Mamluks collected customs revenue","Kızıldeniz-Aden Yolu, Hint Okyanusu'ndan gelen baharatı ve Arap buhurunu Mısır ve Akdeniz'e bağlayan stratejik deniz güzergâhıydı. Aden limanı Bâbülmendeb Boğazı'nın kontrolünü elinde tutarak bu ticaretin kapı bekçisi konumundaydı. Resûlî Yemen Sultanlığı ve ardından Memlûkler bu ticaretten devasa gümrük geliri elde etti. Portekizlilerin 16. yüzyılda bölgeye girmesiyle rekabet kızıştı.","The Red Sea-Aden Route was the strategic maritime route connecting Indian Ocean spices and Arabian frankincense to Egypt and the Mediterranean. The port of Aden, controlling the Bab el-Mandeb Strait, served as gatekeeper of this trade. The Rasulid Yemen Sultanate and later the Mamluks earned enormous customs revenue. Competition intensified with Portuguese entry in the 16th century.","Aden gümrük gelirleri Resûlî ve Memlûk devlet bütçelerinin en önemli kalemlerindendi.","Yemen kahvesi 15. yüzyıldan itibaren bu yolla İslam dünyasına ve Avrupa'ya yayıldı — kahve kültürünün başlangıcı.","Resûlî dönemi (13-15. yy) ve Memlûk kontrolü (15-16. yy)."
"14","Volga-Hazar Ticaret Yolu","Volga-Caspian Trade Route","Nehir/Kara","River/Land","Bulgar (İtil)","Bulgar (Volga)","Bağdat / Rey","Baghdad / Ray","54.97,49.05;46.35,48.04;42.06,48.30;36.27,50.00;33.31,44.37","800","1250","Kürk;bal;balmumu;köle;kehribar","Fur;honey;wax;slaves;amber","3;72;139","Yüksek","Kuzey ürünleri güneye; İslam gümüş sikkeleri kuzeye (Vikingler dahil)","Northern products south; Islamic silver coins north (including to Vikings)","Volga-Hazar Yolu, İdil (Volga) Nehri boyunca Bulgar'dan Hazar Denizi üzerinden Bağdat ve Rey'e uzanan kuzey-güney ticaret güzergâhıydı. Kuzeyden kürk, bal, balmumu, kehribar ve köle gelirken, güneyden İslam gümüş sikkeleri, ipek ve baharat gidiyordu. İbn Fadlân'ın 921 seyahatnamesi bu yolun canlı bir tanığıdır. İskandinav arkeolojik kazılarında bulunan binlerce Abbâsî dirhemi bu ticaretin boyutunu kanıtlar.","The Volga-Caspian Route was a north-south trade route stretching from Bulgar along the Volga River through the Caspian Sea to Baghdad and Ray. Furs, honey, wax, amber and slaves came from the north while Islamic silver coins, silk and spices went north. Ibn Fadlan's 921 travelogue is a vivid witness to this route. Thousands of Abbasid dirhams found in Scandinavian excavations prove this trade's scale.","Abbâsî gümüş dirhemleri İskandinav Viking dünyasına kadar ulaşarak 'İslam gümüşü' Kuzey Avrupa ekonomisini etkiledi.","İslam'ın Volga Bulgarları arasında yayılması bu ticari bağlantının doğrudan sonucudur. İbn Fadlân bu süreci belgeledi.","9-10. yüzyıllar; Abbâsî-Viking ticaret ağının en yoğun dönemi."
"15","Sind-Gücerat Deniz Yolu","Sind-Gujarat Maritime Route","Deniz","Maritime","Deybül (Sind)","Daybul (Sind)","Kanbay (Cambay)","Cambay (Gujarat)","24.82,67.01;22.32,69.67;21.18,72.83","711","1500","Baharat;tekstil;at;değerli taşlar","Spices;textiles;horses;gems","154;155;167;178","Yüksek","Arap tüccarların Güney Asya'ya giriş noktası; İslam'ın yayılma kanalı","Entry point of Arab merchants to South Asia; channel of Islamic expansion","Sind-Gücerat Deniz Yolu, Arap tüccarların Güney Asya'ya giriş kapısıydı. Sind'deki Deybül limanı ve Gücerat'taki Kanbay (Cambay) limanı bu ticaretin iki ana terminaliydi. Baharatlar, tekstil, at ve değerli taşlar ticareti yapılıyordu. Bu güzergâh aynı zamanda İslam'ın Güney Asya'ya ilk yayılma kanalıydı — Arap tüccarlar yerleşik İslam toplulukları oluşturarak dinlerini barışçıl yollarla yaydılar.","The Sind-Gujarat Maritime Route was the entry point for Arab merchants into South Asia. The port of Daybul in Sind and Cambay in Gujarat were the two main terminals. Spices, textiles, horses and gems were traded. This route was also the first channel of Islam's spread to South Asia — Arab merchants established settled Muslim communities and spread their religion peacefully.","At ticareti Güney Asya'nın askeri ekonomisinde kritik rol oynadı; Arap atları Hint sultanları için stratejik mal.","Müslüman tüccar toplulukları Güney Asya'nın liman şehirlerinde İslam kültürünü kökleştirdi; Mappila toplulukları bunun erken örneği.","8-15. yüzyıllar; Arap tüccar yerleşimleri İslam'ın Hindistan'a yayılmasının ilk aşaması."
