"city_id","name_tr","name_en","lat","lon","year_ce","population_estimate","dynasty_id","role_tr","role_en","narrative_tr","narrative_en","cultural_identity_tr","geographic_advantage_tr"
"1","Bağdat","Baghdad","33.31","44.37","800","1000000","3","Hilafet başkenti","Caliphate capital","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1000","500000","82","Büveyhî kontrolünde","Under Buyid control","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1200","300000","3","Geç Abbâsî","Late Abbasid","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1258","50000","","Moğol yıkımı sonrası","After Mongol destruction","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1400","100000","106","Timurlu/Celayirli","Timurid/Jalairid","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1600","150000","124","Osmanlı vilayeti","Ottoman province","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"2","Kahire","Cairo","30.04","31.24","970","200000","27","Fâtımî başkenti","Fatimid capital","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
"2","Kahire","Cairo","30.04","31.24","1200","400000","28","Eyyûbî başkenti","Ayyubid capital","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
"2","Kahire","Cairo","30.04","31.24","1340","600000","30","Memlûk zirvesi","Mamluk peak","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
"2","Kahire","Cairo","30.04","31.24","1400","300000","31","Veba sonrası","After plague","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
"2","Kahire","Cairo","30.04","31.24","1600","400000","124","Osmanlı vilayeti","Ottoman province","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
"2","Kahire","Cairo","30.04","31.24","1800","300000","124","Napolyon öncesi","Before Napoleon","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
"3","Kurtuba","Córdoba","37.88","-4.78","800","200000","4","Emevî başkenti","Umayyad capital","Kurtuba, 10. yüzyılda Avrupa'nın en büyük ve en gelişmiş şehri olarak İslam İspanyası'nın başkentiydi. 500.000'e yaklaşan nüfusuyla aynı dönemde Paris ve Londra'dan on kat büyüktü. 70 kütüphanesi, sokak aydınlatması ve kanalizasyon sistemiyle Ortaçağ Avrupa'sının en ileri kentsel altyapısına sahipti. Müslüman, Yahudi ve Hristiyan âlimlerin birlikte çalıştığı convivencia geleneğinin merkezi olarak Batı entelektüel tarihinin şekillendiği yerdir.","Córdoba in the 10th century was the capital of Islamic Spain and Europe's largest and most advanced city. With a population approaching 500,000, it was ten times larger than contemporary Paris and London. With 70 libraries, street lighting and sewage systems, it had medieval Europe's most advanced urban infrastructure. As the center of convivencia where Muslim, Jewish and Christian scholars worked together, it shaped Western intellectual history.","Müslüman, Yahudi ve Hristiyan üç kültürün sentezi (convivencia); çeviri hareketi Yunan felsefesini Avrupa'ya aktardı.","Guadalquivir Nehri'nin bereketli vadisi; Akdeniz ve Atlantik arasındaki stratejik konum."
"3","Kurtuba","Córdoba","37.88","-4.78","1000","500000","4","Avrupa'nın en büyük şehri","Largest city in Europe","Kurtuba, 10. yüzyılda Avrupa'nın en büyük ve en gelişmiş şehri olarak İslam İspanyası'nın başkentiydi. 500.000'e yaklaşan nüfusuyla aynı dönemde Paris ve Londra'dan on kat büyüktü. 70 kütüphanesi, sokak aydınlatması ve kanalizasyon sistemiyle Ortaçağ Avrupa'sının en ileri kentsel altyapısına sahipti. Müslüman, Yahudi ve Hristiyan âlimlerin birlikte çalıştığı convivencia geleneğinin merkezi olarak Batı entelektüel tarihinin şekillendiği yerdir.","Córdoba in the 10th century was the capital of Islamic Spain and Europe's largest and most advanced city. With a population approaching 500,000, it was ten times larger than contemporary Paris and London. With 70 libraries, street lighting and sewage systems, it had medieval Europe's most advanced urban infrastructure. As the center of convivencia where Muslim, Jewish and Christian scholars worked together, it shaped Western intellectual history.","Müslüman, Yahudi ve Hristiyan üç kültürün sentezi (convivencia); çeviri hareketi Yunan felsefesini Avrupa'ya aktardı.","Guadalquivir Nehri'nin bereketli vadisi; Akdeniz ve Atlantik arasındaki stratejik konum."
"3","Kurtuba","Córdoba","37.88","-4.78","1100","100000","14","Murâbıtlar dönemi","Almoravid period","Kurtuba, 10. yüzyılda Avrupa'nın en büyük ve en gelişmiş şehri olarak İslam İspanyası'nın başkentiydi. 500.000'e yaklaşan nüfusuyla aynı dönemde Paris ve Londra'dan on kat büyüktü. 70 kütüphanesi, sokak aydınlatması ve kanalizasyon sistemiyle Ortaçağ Avrupa'sının en ileri kentsel altyapısına sahipti. Müslüman, Yahudi ve Hristiyan âlimlerin birlikte çalıştığı convivencia geleneğinin merkezi olarak Batı entelektüel tarihinin şekillendiği yerdir.","Córdoba in the 10th century was the capital of Islamic Spain and Europe's largest and most advanced city. With a population approaching 500,000, it was ten times larger than contemporary Paris and London. With 70 libraries, street lighting and sewage systems, it had medieval Europe's most advanced urban infrastructure. As the center of convivencia where Muslim, Jewish and Christian scholars worked together, it shaped Western intellectual history.","Müslüman, Yahudi ve Hristiyan üç kültürün sentezi (convivencia); çeviri hareketi Yunan felsefesini Avrupa'ya aktardı.","Guadalquivir Nehri'nin bereketli vadisi; Akdeniz ve Atlantik arasındaki stratejik konum."
"4","İstanbul (Konstantinopolis)","Istanbul (Constantinople)","41.01","28.98","1453","50000","124","Fetih sonrası","After conquest","İstanbul, 1453'teki fetihle Osmanlı İmparatorluğu'nun başkentine dönüşen ve dört yüz yıldan fazla İslam dünyasının en önemli siyasi merkezi olan şehirdir. Bizans mirasını İslam estetiğiyle birleştiren Osmanlı mimarisinin başyapıtları — Ayasofya, Süleymaniye, Sultan Ahmed — şehrin siluetini tanımlar. Üç kıtanın kavşağında konumlanması İstanbul'u hem ticaret hem kültür açısından İslam dünyasının en kozmopolit şehri yapmıştır.","Istanbul, transformed into the Ottoman capital with the 1453 conquest, was the Islamic world's most important political center for over four hundred years. Ottoman architectural masterpieces combining Byzantine heritage with Islamic aesthetics — Hagia Sophia, Süleymaniye, Sultan Ahmed — define the city's skyline. Its position at the crossroads of three continents made Istanbul the Islamic world's most cosmopolitan city.","Bizans-İslam sentezi; Türk, Arap, Fars, Rum, Ermeni ve Yahudi toplulukların çok kültürlü başkenti.","Boğaziçi'nin stratejik kontrolü; Avrupa-Asya, Karadeniz-Akdeniz geçiş noktası."
"4","İstanbul (Konstantinopolis)","Istanbul (Constantinople)","41.01","28.98","1500","200000","124","Osmanlı başkenti","Ottoman capital","İstanbul, 1453'teki fetihle Osmanlı İmparatorluğu'nun başkentine dönüşen ve dört yüz yıldan fazla İslam dünyasının en önemli siyasi merkezi olan şehirdir. Bizans mirasını İslam estetiğiyle birleştiren Osmanlı mimarisinin başyapıtları — Ayasofya, Süleymaniye, Sultan Ahmed — şehrin siluetini tanımlar. Üç kıtanın kavşağında konumlanması İstanbul'u hem ticaret hem kültür açısından İslam dünyasının en kozmopolit şehri yapmıştır.","Istanbul, transformed into the Ottoman capital with the 1453 conquest, was the Islamic world's most important political center for over four hundred years. Ottoman architectural masterpieces combining Byzantine heritage with Islamic aesthetics — Hagia Sophia, Süleymaniye, Sultan Ahmed — define the city's skyline. Its position at the crossroads of three continents made Istanbul the Islamic world's most cosmopolitan city.","Bizans-İslam sentezi; Türk, Arap, Fars, Rum, Ermeni ve Yahudi toplulukların çok kültürlü başkenti.","Boğaziçi'nin stratejik kontrolü; Avrupa-Asya, Karadeniz-Akdeniz geçiş noktası."
"4","İstanbul (Konstantinopolis)","Istanbul (Constantinople)","41.01","28.98","1600","700000","124","Dünyanın en büyük şehri","World's largest city","İstanbul, 1453'teki fetihle Osmanlı İmparatorluğu'nun başkentine dönüşen ve dört yüz yıldan fazla İslam dünyasının en önemli siyasi merkezi olan şehirdir. Bizans mirasını İslam estetiğiyle birleştiren Osmanlı mimarisinin başyapıtları — Ayasofya, Süleymaniye, Sultan Ahmed — şehrin siluetini tanımlar. Üç kıtanın kavşağında konumlanması İstanbul'u hem ticaret hem kültür açısından İslam dünyasının en kozmopolit şehri yapmıştır.","Istanbul, transformed into the Ottoman capital with the 1453 conquest, was the Islamic world's most important political center for over four hundred years. Ottoman architectural masterpieces combining Byzantine heritage with Islamic aesthetics — Hagia Sophia, Süleymaniye, Sultan Ahmed — define the city's skyline. Its position at the crossroads of three continents made Istanbul the Islamic world's most cosmopolitan city.","Bizans-İslam sentezi; Türk, Arap, Fars, Rum, Ermeni ve Yahudi toplulukların çok kültürlü başkenti.","Boğaziçi'nin stratejik kontrolü; Avrupa-Asya, Karadeniz-Akdeniz geçiş noktası."
"4","İstanbul (Konstantinopolis)","Istanbul (Constantinople)","41.01","28.98","1800","500000","124","Gerileme dönemi","Period of decline","İstanbul, 1453'teki fetihle Osmanlı İmparatorluğu'nun başkentine dönüşen ve dört yüz yıldan fazla İslam dünyasının en önemli siyasi merkezi olan şehirdir. Bizans mirasını İslam estetiğiyle birleştiren Osmanlı mimarisinin başyapıtları — Ayasofya, Süleymaniye, Sultan Ahmed — şehrin siluetini tanımlar. Üç kıtanın kavşağında konumlanması İstanbul'u hem ticaret hem kültür açısından İslam dünyasının en kozmopolit şehri yapmıştır.","Istanbul, transformed into the Ottoman capital with the 1453 conquest, was the Islamic world's most important political center for over four hundred years. Ottoman architectural masterpieces combining Byzantine heritage with Islamic aesthetics — Hagia Sophia, Süleymaniye, Sultan Ahmed — define the city's skyline. Its position at the crossroads of three continents made Istanbul the Islamic world's most cosmopolitan city.","Bizans-İslam sentezi; Türk, Arap, Fars, Rum, Ermeni ve Yahudi toplulukların çok kültürlü başkenti.","Boğaziçi'nin stratejik kontrolü; Avrupa-Asya, Karadeniz-Akdeniz geçiş noktası."
"5","Semerkant","Samarkand","39.65","66.96","900","200000","89","Sâmânî başkenti","Samanid capital","Semerkant, İpek Yolu'nun en parlak şehri ve Timurlu döneminde dünyanın en görkemli başkentlerinden biriydi. Timur fethettiği toprakların en yetenekli zanaatkârlarını buraya getirerek şehri açık hava müzesine dönüştürdü. Registan Meydanı, Gûr-ı Emîr ve Şâh-ı Zinde İslam çini sanatının en konsantre örnekleridir. Uluğ Bey'in rasathanesi şehrin bilimsel mirasının zirvesiydi.","Samarkand was the Silk Road's most brilliant city and one of the world's most magnificent capitals during the Timurid period. Timur transformed the city into an open-air museum by bringing the most talented artisans from conquered lands. The Registan, Gur-e Amir and Shah-i-Zinda are the most concentrated examples of Islamic tile art. Ulugh Beg's observatory was the pinnacle of the city's scientific legacy.","Türk-Fars-Soğd kültür sentezi; İpek Yolu kozmopolitliğinin zirvesi; Timurlu sanat ve bilim geleneği.","İpek Yolu'nun Orta Asya kavşağında; Zerefşan Nehri'nin bereketli vadisinde konumlanma."
